date,city,state,url,fuel_type,average,price
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Regular,Month Ago Avg.,2.453
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Mid,Month Ago Avg.,2.738
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Premium,Month Ago Avg.,3.035
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Diesel,Month Ago Avg.,3.018
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Regular,Year Ago Avg.,2.54
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Mid,Year Ago Avg.,2.879
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Premium,Year Ago Avg.,3.17
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Diesel,Year Ago Avg.,3.177
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Regular,Current Avg.,2.338
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Mid,Current Avg.,2.646
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Premium,Current Avg.,2.955
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Diesel,Current Avg.,2.805
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Regular,Yesterday Avg.,2.346
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Mid,Yesterday Avg.,2.649
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Premium,Yesterday Avg.,2.96
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Diesel,Yesterday Avg.,2.798
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Regular,Week Ago Avg.,2.4
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Mid,Week Ago Avg.,2.7
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Premium,Week Ago Avg.,3.008
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Diesel,Week Ago Avg.,2.804
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Regular,Month Ago Avg.,2.366
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Mid,Month Ago Avg.,2.666
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Premium,Month Ago Avg.,2.978
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Diesel,Month Ago Avg.,2.829
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Regular,Year Ago Avg.,2.418
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Mid,Year Ago Avg.,2.7
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Premium,Year Ago Avg.,3.008
2019-11-15,Rome,GA,https://gasprices.aaa.com/?state=GA,Diesel,Year Ago Avg.,3.092
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Regular,Current Avg.,2.452
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Mid,Current Avg.,2.786
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Premium,Current Avg.,3.123
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Diesel,Current Avg.,2.96
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Regular,Yesterday Avg.,2.448
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Mid,Yesterday Avg.,2.781
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Premium,Yesterday Avg.,3.106
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Diesel,Yesterday Avg.,2.968
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Regular,Week Ago Avg.,2.458
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Mid,Week Ago Avg.,2.801
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Premium,Week Ago Avg.,3.111
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Diesel,Week Ago Avg.,2.974
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Regular,Month Ago Avg.,2.466
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Mid,Month Ago Avg.,2.768
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Premium,Month Ago Avg.,3.134
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Diesel,Month Ago Avg.,2.958
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Regular,Year Ago Avg.,2.551
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Mid,Year Ago Avg.,2.869
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Premium,Year Ago Avg.,3.164
2019-11-15,Savannah,GA,https://gasprices.aaa.com/?state=GA,Diesel,Year Ago Avg.,3.199
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Regular,Current Avg.,2.398
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Mid,Current Avg.,2.7
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Premium,Current Avg.,3.019
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Diesel,Current Avg.,2.913
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Regular,Yesterday Avg.,2.412
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Mid,Yesterday Avg.,2.719
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Premium,Yesterday Avg.,2.995
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Diesel,Yesterday Avg.,2.899
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Regular,Week Ago Avg.,2.415
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Mid,Week Ago Avg.,2.714
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Premium,Week Ago Avg.,3.052
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Diesel,Week Ago Avg.,2.903
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Regular,Month Ago Avg.,2.388
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Mid,Month Ago Avg.,2.717
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Premium,Month Ago Avg.,2.952
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Diesel,Month Ago Avg.,2.913
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Regular,Year Ago Avg.,2.483
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Mid,Year Ago Avg.,2.861
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Premium,Year Ago Avg.,3.127
2019-11-15,Valdosta,GA,https://gasprices.aaa.com/?state=GA,Diesel,Year Ago Avg.,3.17
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Regular,Current Avg.,2.364
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Mid,Current Avg.,2.685
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Premium,Current Avg.,2.957
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Diesel,Current Avg.,2.857
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Regular,Yesterday Avg.,2.366
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Mid,Yesterday Avg.,2.666
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Premium,Yesterday Avg.,2.911
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Diesel,Yesterday Avg.,2.853
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Regular,Week Ago Avg.,2.317
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Mid,Week Ago Avg.,2.634
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Premium,Week Ago Avg.,2.892
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Diesel,Week Ago Avg.,2.87
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Regular,Month Ago Avg.,2.382
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Mid,Month Ago Avg.,2.705
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Premium,Month Ago Avg.,2.984
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Diesel,Month Ago Avg.,2.884
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Regular,Year Ago Avg.,2.428
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Mid,Year Ago Avg.,2.761
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Premium,Year Ago Avg.,3.051
2019-11-15,Warner Robins,GA,https://gasprices.aaa.com/?state=GA,Diesel,Year Ago Avg.,3.114
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Regular,Current Avg.,3.764
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Mid,Current Avg.,3.965
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Premium,Current Avg.,4.174
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Diesel,Current Avg.,4.324
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Regular,Yesterday Avg.,3.764
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Mid,Yesterday Avg.,3.945
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Premium,Yesterday Avg.,4.173
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Diesel,Yesterday Avg.,4.337
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Regular,Week Ago Avg.,3.769
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Mid,Week Ago Avg.,3.945
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Premium,Week Ago Avg.,4.182
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Diesel,Week Ago Avg.,4.327
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Regular,Month Ago Avg.,3.793
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Mid,Month Ago Avg.,3.968
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Premium,Month Ago Avg.,4.192
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Diesel,Month Ago Avg.,4.331
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Regular,Year Ago Avg.,3.913
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Mid,Year Ago Avg.,4.088
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Premium,Year Ago Avg.,4.218
2019-11-15,Hilo,HI,https://gasprices.aaa.com/?state=HI,Diesel,Year Ago Avg.,4.298
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Regular,Current Avg.,3.539
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Mid,Current Avg.,3.775
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Premium,Current Avg.,3.97
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Diesel,Current Avg.,4.211
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Regular,Yesterday Avg.,3.538
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Mid,Yesterday Avg.,3.766
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Premium,Yesterday Avg.,3.967
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Diesel,Yesterday Avg.,4.205
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Regular,Week Ago Avg.,3.537
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Mid,Week Ago Avg.,3.775
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Premium,Week Ago Avg.,3.971
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Diesel,Week Ago Avg.,4.221
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Regular,Month Ago Avg.,3.549
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Mid,Month Ago Avg.,3.75
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Premium,Month Ago Avg.,3.963
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Diesel,Month Ago Avg.,4.212
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Regular,Year Ago Avg.,3.73
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Mid,Year Ago Avg.,3.913
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Premium,Year Ago Avg.,4.047
2019-11-15,Honolulu,HI,https://gasprices.aaa.com/?state=HI,Diesel,Year Ago Avg.,4.205
2019-11-15,Kahului,HI,https://gasprices.aaa.com/?state=HI,Regular,Current Avg.,3.833
2019-11-15,Kahului,HI,https://gasprices.aaa.com/?state=HI,Mid,Current Avg.,4.015
2019-11-15,Kahului,HI,https://gasprices.aaa.com/?state=HI,Premium,Current Avg.,4.146
2019-11-15,Kahului,HI,https://gasprices.aaa.com/?state=HI,Diesel,Current Avg.,4.279
